gas,de0,re0,c60,de2,re2,c62,b,mu,e_rate,ie_rate,tot_rate
H2,7.27039879296524,6.392774468860418,156.0,1.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.56666,7.000000000000001e-05,3.56673
H2,7.27039879296524,6.392774468860418,156.0,2.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.56671,7.999999999999999e-05,3.56679
H2,7.27039879296524,6.392774468860418,156.0,3.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.5668100000000003,7.999999999999999e-05,3.56689
H2,7.27039879296524,6.392774468860418,156.0,4.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.56686,0.00019,3.56705
H2,7.27039879296524,6.392774468860418,156.0,5.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.56678,0.0005,3.56728
H2,7.27039879296524,6.392774468860418,156.0,6.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.56658,0.00101,3.56759
H2,7.27039879296524,6.392774468860418,156.0,7.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.56638,0.00164,3.56802
H2,7.27039879296524,6.392774468860418,156.0,8.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.56639,0.0021999999999999,3.56859
H2,7.27039879296524,6.392774468860418,156.0,9.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.5668,0.0025599999999999,3.56936
H2,7.27039879296524,6.392774468860418,156.0,10.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.56771,0.00272,3.57042
H2,7.27039879296524,6.392774468860418,156.0,24.0,5.517380194079086,7.8,60.853,1.9701811593091711,2.80512,0.01516,2.8202800000000003
H2,7.27039879296524,6.392774468860418,156.0,28.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.5962400000000003,0.02001,3.61625
H2,7.27039879296524,6.392774468860418,156.0,32.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.64842,0.02269,3.67111
H2,7.27039879296524,6.392774468860418,156.0,36.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.28124,0.0273,3.30854
H2,7.27039879296524,6.392774468860418,156.0,40.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.84912,0.03069,3.8798
H2,7.27039879296524,6.392774468860418,156.0,44.0,5.517380194079086,7.8,60.853,1.9701811593091711,3.15479,0.0371,3.19189
