gas,tot_rate,j,de2
H2,17.83794,2,2.0
H2,17.84702,2,4.0
H2,17.859879999999997,2,6.0
H2,17.87591,2,8.0
H2,17.89456,2,10.0
H2,17.914839999999998,2,12.0
H2,17.93547,2,14.0
H2,17.95276,2,16.0
H2,17.956519999999998,2,18.0
H2,17.91953,2,20.0
H2,17.77759,2,22.0
H2,17.418039999999998,2,24.0
H2,16.80567,2,26.0
H2,16.59178,2,28.0
H2,17.41037,2,30.0
H2,18.27871,2,32.0
H2,18.69559,2,34.0
H2,18.34082,2,36.0
H2,17.63997,2,38.0
H2,17.69169,2,40.0
H2,18.13512,2,42.0
H2,18.70661,2,44.0
H2,19.12764,2,46.0
H2,19.01421,2,48.0
H2,18.46478,2,50.0
H2,18.38625,2,52.0
H2,18.5758,2,54.0
H2,18.90051,2,56.0
H2,19.25979,2,58.0
H2,19.509,2,60.0
H2,19.32061,2,62.0
H2,18.97508,2,64.0
H2,18.9626,2,66.0
H2,19.03989,2,68.0
H2,19.32182,2,70.0
H2,19.68185,2,72.0
H2,20.04112,2,74.0
H2,20.12895,2,76.0
H2,19.58337,2,78.0
H2,19.343110000000003,2,80.0
H2,19.63747,2,82.0
H2,19.60376,2,84.0
H2,19.80606,2,86.0
H2,20.11408,2,88.0
H2,20.51055,2,90.0
H2,20.82452,2,92.0
H2,20.54489,2,94.0
H2,19.91832,2,96.0
H2,19.83208,2,98.0
H2,20.3332,2,100.0
H2,20.27717,2,102.0
H2,20.42643,2,104.0
H2,20.70654,2,106.0
H2,21.068620000000003,2,108.0
H2,21.39344,2,110.0
H2,21.15508,2,112.0
H2,20.70587,2,114.0
H2,20.41476,2,116.0
H2,20.55598,2,118.0
H2,21.04845,2,120.0
H2,20.9905,2,122.0
H2,21.16261,2,124.0
H2,21.4562,2,126.0
H2,21.82546,2,128.0
H2,21.8946,2,130.0
H2,21.46368,2,132.0
H2,21.31317,2,134.0
H2,21.16384,2,136.0
H2,21.07048,2,138.0
H2,21.65021,2,140.0
H2,21.669120000000003,2,142.0
H2,21.74245,2,144.0
H2,22.00814,2,146.0
H2,22.39121,2,148.0
H2,22.44166,2,150.0
H2,21.99424,2,152.0
H2,21.85088,2,154.0
H2,21.88758,2,156.0
H2,21.87366,2,158.0
H2,21.77793,2,160.0
H2,22.24034,2,162.0
H2,22.37186,2,164.0
H2,22.415370000000003,2,166.0
H2,22.72722,2,168.0
H2,23.06092,2,170.0
H2,22.72782,2,172.0
H2,22.44476,2,174.0
H2,22.36309,2,176.0
H2,22.4118,2,178.0
H2,22.53956,2,180.0
H2,22.56652,2,182.0
H2,22.50966,2,184.0
H2,23.06543,2,186.0
H2,23.04872,2,188.0
H2,23.25798,2,190.0
H2,23.54962,2,192.0
H2,23.21974,2,194.0
H2,22.98101,2,196.0
H2,22.888910000000003,2,198.0
H2,22.89538,2,200.0
H2,22.97877,2,202.0
H2,23.13382,2,204.0
H2,23.24235,2,206.0
H2,23.184140000000003,2,208.0
H2,23.44343,2,210.0
H2,23.86895,2,212.0
H2,23.98203,2,214.0
H2,23.80465,2,216.0
H2,23.53293,2,218.0
H2,23.40385,2,220.0
H2,23.38283,2,222.0
H2,23.4235,2,224.0
N2,16.975839999999998,2,2.0
N2,16.973480000000002,2,4.0
N2,16.973110000000002,2,6.0
N2,16.97383,2,8.0
N2,16.976309999999998,2,10.0
N2,16.97976,2,12.0
N2,16.984479999999998,2,14.0
N2,16.99036,2,16.0
N2,16.99667,2,18.0
N2,17.003899999999998,2,20.0
N2,17.01095,2,22.0
N2,17.01861,2,24.0
N2,17.02583,2,26.0
N2,17.03336,2,28.0
N2,17.04056,2,30.0
N2,17.04727,2,32.0
N2,17.05345,2,34.0
N2,17.05988,2,36.0
N2,17.064259999999997,2,38.0
N2,17.06783,2,40.0
N2,17.07078,2,42.0
N2,17.07308,2,44.0
N2,17.07568,2,46.0
N2,17.0777,2,48.0
N2,17.07725,2,50.0
N2,17.077530000000003,2,52.0
N2,17.07806,2,54.0
N2,17.07698,2,56.0
N2,17.07545,2,58.0
N2,17.07454,2,60.0
N2,17.07295,2,62.0
