gas,tot_rate,j,c62
H2,17.83779,2,2.7857142857142856
H2,17.840410000000002,2,5.571428571428571
H2,17.84164,2,8.357142857142856
H2,17.84256,2,11.142857142857142
H2,17.843349999999997,2,13.928571428571429
H2,17.84408,2,16.71428571428571
H2,17.84478,2,19.5
H2,17.84545,2,22.285714285714285
H2,17.84611,2,25.071428571428573
H2,17.84677,2,27.857142857142858
H2,17.84742,2,30.642857142857142
H2,17.84804,2,33.42857142857142
H2,17.84866,2,36.21428571428572
H2,17.84928,2,39.0
H2,17.8499,2,41.785714285714285
H2,17.85052,2,44.57142857142857
H2,17.85114,2,47.35714285714285
H2,17.85176,2,50.142857142857146
H2,17.85238,2,52.92857142857143
H2,17.853,2,55.71428571428572
H2,17.85362,2,58.5
H2,17.85424,2,61.285714285714285
H2,17.854870000000002,2,64.07142857142857
H2,17.85549,2,66.85714285714285
H2,17.856109999999997,2,69.64285714285715
H2,17.85674,2,72.42857142857143
H2,17.85737,2,75.21428571428572
H2,17.858,2,78.0
H2,17.858629999999998,2,80.78571428571429
H2,17.859270000000002,2,83.57142857142857
H2,17.8599,2,86.35714285714286
H2,17.86055,2,89.14285714285715
H2,17.86119,2,91.92857142857144
H2,17.86184,2,94.7142857142857
H2,17.86248,2,97.5
H2,17.863110000000002,2,100.28571428571428
H2,17.86373,2,103.07142857142856
H2,17.864349999999998,2,105.85714285714286
H2,17.86498,2,108.64285714285714
H2,17.86561,2,111.42857142857144
H2,17.866239999999998,2,114.21428571428572
H2,17.866880000000002,2,117.0
H2,17.86752,2,119.78571428571428
H2,17.86816,2,122.57142857142856
H2,17.86881,2,125.35714285714286
H2,17.86946,2,128.14285714285714
H2,17.87011,2,130.92857142857144
H2,17.87075,2,133.7142857142857
H2,17.871389999999998,2,136.5
H2,17.87204,2,139.2857142857143
H2,17.87269,2,142.07142857142856
H2,17.87334,2,144.85714285714286
H2,17.873990000000003,2,147.64285714285714
H2,17.874640000000003,2,150.42857142857144
H2,17.87529,2,153.2142857142857
H2,17.87595,2,156.0
H2,17.87661,2,158.78571428571428
H2,17.87726,2,161.57142857142858
H2,17.87792,2,164.35714285714286
H2,17.87858,2,167.14285714285714
H2,17.87924,2,169.92857142857142
H2,17.8799,2,172.71428571428572
H2,17.88056,2,175.5
H2,17.88122,2,178.28571428571428
H2,17.881880000000002,2,181.07142857142856
H2,17.882550000000002,2,183.8571428571429
H2,17.883210000000002,2,186.64285714285717
H2,17.88388,2,189.42857142857144
H2,17.884539999999998,2,192.2142857142857
H2,17.88521,2,195.0
H2,17.88587,2,197.78571428571428
H2,17.88654,2,200.57142857142856
H2,17.8872,2,203.3571428571429
H2,17.88787,2,206.14285714285717
H2,17.888540000000003,2,208.92857142857144
H2,17.88921,2,211.7142857142857
H2,17.889879999999998,2,214.5
H2,17.890549999999998,2,217.28571428571428
H2,17.89121,2,220.07142857142856
H2,17.89188,2,222.8571428571429
